==============================================================
  FULL EXPERIMENT SUMMARY — Sat Apr  4 08:14:11 EDT 2026
==============================================================

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                   k        | Subrule DSR        | Action DSR         | Trajectory SR     
--------------------------------|--------------------|--------------------|-------------------
semantic               0        | 0.936845 ± 0.011370 | 0.973214 ± 0.006614 | 0.000000 ± 0.000000
semantic               1        | 0.972645 ± 0.004988 | 0.996071 ± 0.000358 | 0.103175 ± 0.090141
semantic               2        | 0.984039 ± 0.003533 | 0.997619 ± 0.001352 | 0.188889 ± 0.200924
semantic               3        | 0.992523 ± 0.004305 | 0.999286 ± 0.000618 | 0.444444 ± 0.509175
semantic               4        | 0.995912 ± 0.002043 | 1.000000 ± 0.000000 | 0.666667 ± 0.577350
semantic               5        | 0.998954 ± 0.000405 | 1.000000 ± 0.000000 | 0.666667 ± 0.577350
semantic_random        0        | 0.936845 ± 0.011370 | 0.973214 ± 0.006614 | 0.000000 ± 0.000000
semantic_random        1        | 0.943223 ± 0.010923 | 0.975834 ± 0.006352 | 0.000000 ± 0.000000
semantic_random        2        | 0.949931 ± 0.009624 | 0.980238 ± 0.006085 | 0.027778 ± 0.048112
semantic_random        3        | 0.954539 ± 0.009707 | 0.983928 ± 0.003863 | 0.030303 ± 0.052486
semantic_random        4        | 0.959186 ± 0.008719 | 0.984167 ± 0.003852 | 0.027778 ± 0.048112
semantic_random        5        | 0.963021 ± 0.008386 | 0.986429 ± 0.003175 | 0.000000 ± 0.000000
semantic_lna           k2=0     | 0.941752 ± 0.003435 | 0.971833 ± 0.006429 | 0.000000 ± 0.000000
semantic_lna           k2=1     | 0.967499 ± 0.007816 | 0.983833 ± 0.004726 | 0.000000 ± 0.000000
semantic_lna           k2=2     | 0.976564 ± 0.007133 | 0.984333 ± 0.005058 | 0.000000 ± 0.000000
semantic_lna           k2=3     | 0.982456 ± 0.010568 | 0.984833 ± 0.005058 | 0.000000 ± 0.000000
semantic_lna           k2=4     | 0.986321 ± 0.007869 | 0.985333 ± 0.005508 | 0.000000 ± 0.000000
semantic_lna           k2=5     | 0.987541 ± 0.006895 | 0.986000 ± 0.006083 | 0.000000 ± 0.000000
semantic_lna_random    k2=0     | 0.941752 ± 0.003435 | 0.971833 ± 0.006429 | 0.000000 ± 0.000000
semantic_lna_random    k2=1     | 0.949716 ± 0.003381 | 0.976500 ± 0.005679 | 0.000000 ± 0.000000
semantic_lna_random    k2=2     | 0.956385 ± 0.006002 | 0.976500 ± 0.004444 | 0.000000 ± 0.000000
semantic_lna_random    k2=3     | 0.961941 ± 0.006625 | 0.979000 ± 0.003606 | 0.000000 ± 0.000000
semantic_lna_random    k2=4     | 0.967738 ± 0.007930 | 0.979667 ± 0.004481 | 0.000000 ± 0.000000
semantic_lna_random    k2=5     | 0.971970 ± 0.007920 | 0.981500 ± 0.003500 | 0.000000 ± 0.000000
semantic_lna_single    k2=0     | 0.941752 ± 0.003435 | 0.971833 ± 0.006429 | 0.000000 ± 0.000000
semantic_lna_single    k2=1     | 0.967455 ± 0.006661 | 0.982167 ± 0.002082 | 0.055556 ± 0.096225
semantic_lna_single    k2=2     | 0.976688 ± 0.009007 | 0.983000 ± 0.003500 | 0.055556 ± 0.096225
semantic_lna_single    k2=3     | 0.983828 ± 0.008374 | 0.983500 ± 0.003500 | 0.055556 ± 0.096225
semantic_lna_single    k2=4     | 0.986723 ± 0.008527 | 0.983667 ± 0.003329 | 0.055556 ± 0.096225
semantic_lna_single    k2=5     | 0.987920 ± 0.007092 | 0.984333 ± 0.002843 | 0.055556 ± 0.096225
semantic_lna_random_single k2=0     | 0.941752 ± 0.003435 | 0.971833 ± 0.006429 | 0.000000 ± 0.000000
semantic_lna_random_single k2=1     | 0.949596 ± 0.002903 | 0.976667 ± 0.004041 | 0.000000 ± 0.000000
semantic_lna_random_single k2=2     | 0.956913 ± 0.005900 | 0.978667 ± 0.002754 | 0.000000 ± 0.000000
semantic_lna_random_single k2=3     | 0.963328 ± 0.006510 | 0.980167 ± 0.003512 | 0.000000 ± 0.000000
semantic_lna_random_single k2=4     | 0.967560 ± 0.006093 | 0.981333 ± 0.002517 | 0.047619 ± 0.082479
semantic_lna_random_single k2=5     | 0.972200 ± 0.005794 | 0.982333 ± 0.002843 | 0.055556 ± 0.096225

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_extended
────────────────────────────────────────────────────────────────
Mode                   k        | Subrule DSR        | Action DSR         | Trajectory SR     
--------------------------------|--------------------|--------------------|-------------------
semantic               0        | 0.951405 ± 0.023931 | 0.951071 ± 0.013010 | 0.000000 ± 0.000000
semantic               1        | 0.981899 ± 0.006390 | 0.984286 ± 0.005498 | 0.156593 ± 0.087352
semantic               2        | 0.993985 ± 0.002422 | 0.995476 ± 0.003785 | 0.484848 ± 0.026243
semantic               3        | 0.998479 ± 0.001506 | 0.999762 ± 0.000412 | 0.888889 ± 0.192450
semantic               4        | 0.999959 ± 0.000054 | 1.000000 ± 0.000000 | 1.000000 ± 0.000000
semantic               5        | 1.000000 ± 0.000000 | 1.000000 ± 0.000000 | 1.000000 ± 0.000000
semantic_random        0        | 0.951405 ± 0.023931 | 0.951071 ± 0.013010 | 0.000000 ± 0.000000
semantic_random        1        | 0.955805 ± 0.022208 | 0.958571 ± 0.009603 | 0.000000 ± 0.000000
